,maint,doors,persons,lug_boot,safety,class,row_num
451,vhigh,2,more,small,med,unacc,451
490,vhigh,4,2,med,med,unacc,490
1277,low,5more,2,big,high,unacc,1277
287,med,4,4,big,high,acc,287
1639,low,2,more,small,med,unacc,1639
1714,low,5more,4,med,med,good,1714
1178,med,5more,4,big,high,vgood,1178
585,high,3,more,small,low,unacc,585
1552,med,3,4,med,med,acc,1552
1169,med,5more,2,big,high,unacc,1169
1033,high,4,2,big,med,unacc,1033
888,vhigh,2,more,big,low,unacc,888
1001,high,3,2,small,high,unacc,1001
327,low,2,2,med,low,unacc,327
879,vhigh,2,4,big,low,unacc,879
1217,low,3,2,small,high,unacc,1217
1415,high,2,4,small,high,acc,1415
1541,med,3,2,small,high,unacc,1541
674,med,2,more,big,high,acc,674
177,high,4,4,big,low,unacc,177
601,high,4,2,big,med,unacc,601
1073,high,5more,more,small,high,acc,1073
86,vhigh,5more,2,med,high,unacc,86
1310,vhigh,2,4,med,high,acc,1310
1635,low,2,4,big,low,unacc,1635
457,vhigh,2,more,big,med,unacc,457
54,vhigh,4,2,small,low,unacc,54
1668,low,3,more,med,low,unacc,1668
221,med,2,2,med,high,unacc,221
113,high,2,2,med,high,unacc,113
939,vhigh,4,more,med,low,unacc,939
1068,high,5more,4,big,low,unacc,1068
765,low,2,4,small,low,unacc,765
174,high,4,4,med,low,unacc,174
1080,med,2,2,small,low,unacc,1080
1348,vhigh,3,more,big,med,acc,1348
18,vhigh,2,more,small,low,unacc,18
423,low,5more,more,small,low,unacc,423
1156,med,4,more,med,med,acc,1156
285,med,4,4,big,low,unacc,285
1370,vhigh,4,more,small,high,acc,1370
428,low,5more,more,med,high,acc,428
1305,vhigh,2,4,small,low,unacc,1305
575,high,3,2,big,high,unacc,575
31,vhigh,3,2,med,med,unacc,31
721,med,4,more,small,med,unacc,721
1240,low,3,more,big,med,good,1240
214,high,5more,more,big,med,unacc,214
1052,high,4,more,big,high,acc,1052
326,low,2,2,small,high,unacc,326
560,high,2,more,small,high,unacc,560
1353,vhigh,4,2,med,low,unacc,1353
1602,med,5more,4,small,low,unacc,1602
1034,high,4,2,big,high,unacc,1034
341,low,2,4,big,high,acc,341
147,high,3,4,med,low,unacc,147
360,low,3,4,small,low,unacc,360
83,vhigh,5more,2,small,high,unacc,83
48,vhigh,3,more,med,low,unacc,48
468,vhigh,3,4,small,low,unacc,468
155,high,3,more,small,high,unacc,155
1721,low,5more,more,small,high,good,1721
1208,low,2,more,small,high,unacc,1208
1046,high,4,more,small,high,acc,1046
1506,high,5more,more,med,low,unacc,1506
500,vhigh,4,4,med,high,unacc,500
179,high,4,4,big,high,unacc,179
1061,high,5more,2,big,high,unacc,1061
614,high,4,more,small,high,acc,614
1009,high,3,4,small,med,unacc,1009
528,vhigh,5more,4,big,low,unacc,528
346,low,2,more,med,med,unacc,346
1373,vhigh,4,more,med,high,acc,1373
1689,low,4,4,big,low,unacc,1689
668,med,2,more,small,high,unacc,668
862,low,5more,more,big,med,acc,862
946,vhigh,5more,2,small,med,unacc,946
832,low,4,more,med,med,acc,832
243,med,3,2,small,low,unacc,243
1681,low,4,2,big,med,unacc,1681
1273,low,5more,2,med,med,unacc,1273
312,med,5more,4,big,low,unacc,312
435,vhigh,2,2,med,low,unacc,435
1634,low,2,4,med,high,good,1634
1023,high,3,more,big,low,unacc,1023
308,med,5more,4,small,high,acc,308
430,low,5more,more,big,med,acc,430
370,low,3,more,small,med,unacc,370
566,high,2,more,big,high,acc,566
1554,med,3,4,big,low,unacc,1554
181,high,4,more,small,med,unacc,181
1107,med,3,2,small,low,unacc,1107
629,high,5more,2,big,high,unacc,629
906,vhigh,3,4,big,low,unacc,906
1647,low,3,2,small,low,unacc,1647
296,med,4,more,big,high,acc,296
694,med,3,more,small,med,unacc,694
461,vhigh,3,2,small,high,unacc,461
1695,low,4,more,med,low,unacc,1695
915,vhigh,3,more,big,low,unacc,915
377,low,3,more,big,high,acc,377
910,vhigh,3,more,small,med,unacc,910
1341,vhigh,3,more,small,low,unacc,1341
126,high,2,more,small,low,unacc,126
1067,high,5more,4,med,high,acc,1067
1576,med,4,4,small,med,acc,1576
355,low,3,2,med,med,unacc,355
1399,vhigh,5more,more,med,med,acc,1399
792,low,3,4,small,low,unacc,792
209,high,5more,more,small,high,unacc,209
680,med,3,2,med,high,unacc,680
140,high,3,2,med,high,unacc,140
1717,low,5more,4,big,med,good,1717
1608,med,5more,4,big,low,unacc,1608
987,high,2,4,big,low,unacc,987
1539,med,3,2,small,low,unacc,1539
900,vhigh,3,4,small,low,unacc,900
1530,med,2,more,small,low,unacc,1530
1253,low,4,4,small,high,good,1253
1284,low,5more,4,big,low,unacc,1284
1357,vhigh,4,2,big,med,unacc,1357
10,vhigh,2,4,small,med,unacc,10
948,vhigh,5more,2,med,low,unacc,948
282,med,4,4,med,low,unacc,282
291,med,4,more,med,low,unacc,291
626,high,5more,2,med,high,unacc,626
754,med,5more,more,big,med,acc,754
1467,high,4,4,small,low,unacc,1467
129,high,2,more,med,low,unacc,129
323,med,5more,more,big,high,acc,323
1565,med,3,more,big,high,vgood,1565
1672,low,3,more,big,med,good,1672
1690,low,4,4,big,med,good,1690
786,low,3,2,med,low,unacc,786
669,med,2,more,med,low,unacc,669
922,vhigh,4,2,med,med,unacc,922
820,low,4,4,small,med,unacc,820
158,high,3,more,med,high,unacc,158
755,med,5more,more,big,high,acc,755
634,high,5more,4,med,med,acc,634
516,vhigh,5more,2,med,low,unacc,516
1231,low,3,4,big,med,good,1231
597,high,4,2,med,low,unacc,597
195,high,5more,2,big,low,unacc,195
1422,high,2,more,small,low,unacc,1422
1079,high,5more,more,big,high,acc,1079
410,low,5more,2,med,high,unacc,410
96,vhigh,5more,4,big,low,unacc,96
1298,vhigh,2,2,small,high,unacc,1298
1202,low,2,4,med,high,good,1202
156,high,3,more,med,low,unacc,156
419,low,5more,4,med,high,acc,419
905,vhigh,3,4,med,high,acc,905
477,vhigh,3,more,small,low,unacc,477
1595,med,5more,2,small,high,unacc,1595
816,low,4,2,big,low,unacc,816
845,low,5more,2,big,high,unacc,845
1125,med,3,more,small,low,unacc,1125
447,vhigh,2,4,big,low,unacc,447
1315,vhigh,2,more,small,med,unacc,1315
178,high,4,4,big,med,unacc,178
390,low,4,4,med,low,unacc,390
578,high,3,4,small,high,acc,578
1022,high,3,more,med,high,acc,1022
1654,low,3,2,big,med,unacc,1654
839,low,5more,2,small,high,unacc,839
1423,high,2,more,small,med,unacc,1423
692,med,3,4,big,high,acc,692
893,vhigh,3,2,small,high,unacc,893
1113,med,3,2,big,low,unacc,1113
1676,low,4,2,small,high,unacc,1676
664,med,2,4,big,med,acc,664
142,high,3,2,big,med,unacc,142
1343,vhigh,3,more,small,high,acc,1343
1232,low,3,4,big,high,vgood,1232
1477,high,4,more,small,med,acc,1477
636,high,5more,4,big,low,unacc,636
1211,low,2,more,med,high,good,1211
859,low,5more,more,med,med,acc,859
615,high,4,more,med,low,unacc,615
294,med,4,more,big,low,unacc,294
712,med,4,4,small,med,unacc,712
1720,low,5more,more,small,med,acc,1720
88,vhigh,5more,2,big,med,unacc,88
41,vhigh,3,4,med,high,unacc,41
1666,low,3,more,small,med,acc,1666
131,high,2,more,med,high,unacc,131
767,low,2,4,small,high,acc,767
756,low,2,2,small,low,unacc,756
864,vhigh,2,2,small,low,unacc,864
1598,med,5more,2,med,high,unacc,1598
1132,med,3,more,big,med,acc,1132
164,high,4,2,small,high,unacc,164
290,med,4,more,small,high,acc,290
1632,low,2,4,med,low,unacc,1632
780,low,2,more,big,low,unacc,780
348,low,2,more,big,low,unacc,348
571,high,3,2,med,med,unacc,571
745,med,5more,4,big,med,acc,745
1625,low,2,2,med,high,unacc,1625
904,vhigh,3,4,med,med,unacc,904
1377,vhigh,5more,2,small,low,unacc,1377
1137,med,4,2,med,low,unacc,1137
785,low,3,2,small,high,unacc,785
458,vhigh,2,more,big,high,unacc,458
375,low,3,more,big,low,unacc,375
333,low,2,4,small,low,unacc,333
1000,high,3,2,small,med,unacc,1000
1519,med,2,2,big,med,unacc,1519
1517,med,2,2,med,high,unacc,1517
932,vhigh,4,4,med,high,acc,932
1706,low,5more,2,med,high,unacc,1706
1600,med,5more,2,big,med,unacc,1600
744,med,5more,4,big,low,unacc,744
328,low,2,2,med,med,unacc,328
809,low,3,more,big,high,acc,809
318,med,5more,more,med,low,unacc,318
1323,vhigh,3,2,small,low,unacc,1323
1170,med,5more,4,small,low,unacc,1170
1686,low,4,4,med,low,unacc,1686
167,high,4,2,med,high,unacc,167
12,vhigh,2,4,med,low,unacc,12
171,high,4,4,small,low,unacc,171
649,med,2,2,small,med,unacc,649
260,med,3,4,big,high,acc,260
1055,high,5more,2,small,high,unacc,1055
1214,low,2,more,big,high,vgood,1214
672,med,2,more,big,low,unacc,672
258,med,3,4,big,low,unacc,258
1222,low,3,2,big,med,unacc,1222
138,high,3,2,med,low,unacc,138
549,high,2,4,small,low,unacc,549
1100,med,2,more,small,high,unacc,1100
1320,vhigh,2,more,big,low,unacc,1320
1075,high,5more,more,med,med,acc,1075
1026,high,4,2,small,low,unacc,1026
558,high,2,more,small,low,unacc,558
139,high,3,2,med,med,unacc,139
1501,high,5more,4,big,med,acc,1501
531,vhigh,5more,more,small,low,unacc,531
224,med,2,2,big,high,unacc,224
723,med,4,more,med,low,unacc,723
1006,high,3,2,big,med,unacc,1006
409,low,5more,2,med,med,unacc,409
325,low,2,2,small,med,unacc,325
903,vhigh,3,4,med,low,unacc,903
299,med,5more,2,small,high,unacc,299
1722,low,5more,more,med,low,unacc,1722
1605,med,5more,4,med,low,unacc,1605
1380,vhigh,5more,2,med,low,unacc,1380
1601,med,5more,2,big,high,unacc,1601
714,med,4,4,med,low,unacc,714
193,high,5more,2,med,med,unacc,193
440,vhigh,2,2,big,high,unacc,440
573,high,3,2,big,low,unacc,573
503,vhigh,4,4,big,high,unacc,503
605,high,4,4,small,high,acc,605
1007,high,3,2,big,high,unacc,1007
1542,med,3,2,med,low,unacc,1542
3,vhigh,2,2,med,low,unacc,3
984,high,2,4,med,low,unacc,984
1614,med,5more,more,med,low,unacc,1614
467,vhigh,3,2,big,high,unacc,467
321,med,5more,more,big,low,unacc,321
5,vhigh,2,2,med,high,unacc,5
222,med,2,2,big,low,unacc,222
547,high,2,2,big,med,unacc,547
988,high,2,4,big,med,acc,988
39,vhigh,3,4,med,low,unacc,39
542,high,2,2,small,high,unacc,542
242,med,2,more,big,high,acc,242
962,vhigh,5more,4,big,high,acc,962
136,high,3,2,small,med,unacc,136
1704,low,5more,2,med,low,unacc,1704
1361,vhigh,4,4,small,high,acc,1361
1272,low,5more,2,med,low,unacc,1272
1196,low,2,2,big,high,unacc,1196
886,vhigh,2,more,med,med,unacc,886
1223,low,3,2,big,high,unacc,1223
993,high,2,more,med,low,unacc,993
1573,med,4,2,big,med,unacc,1573
581,high,3,4,med,high,acc,581
1523,med,2,4,small,high,good,1523
1698,low,4,more,big,low,unacc,1698
661,med,2,4,med,med,unacc,661
436,vhigh,2,2,med,med,unacc,436
1599,med,5more,2,big,low,unacc,1599
376,low,3,more,big,med,acc,376
1274,low,5more,2,med,high,unacc,1274
314,med,5more,4,big,high,acc,314
442,vhigh,2,4,small,med,unacc,442
978,high,2,2,big,low,unacc,978
319,med,5more,more,med,med,acc,319
281,med,4,4,small,high,acc,281
873,vhigh,2,4,small,low,unacc,873
1085,med,2,2,med,high,unacc,1085
1299,vhigh,2,2,med,low,unacc,1299
424,low,5more,more,small,med,unacc,424
553,high,2,4,med,med,unacc,553
594,high,4,2,small,low,unacc,594
1692,low,4,more,small,low,unacc,1692
368,low,3,4,big,high,acc,368
1335,vhigh,3,4,med,low,unacc,1335
1497,high,5more,4,med,low,unacc,1497
1445,high,3,4,med,high,acc,1445
1514,med,2,2,small,high,unacc,1514
1643,low,2,more,med,high,good,1643
227,med,2,4,small,high,acc,227
937,vhigh,4,more,small,med,unacc,937
1151,med,4,4,big,high,vgood,1151
1146,med,4,4,med,low,unacc,1146
1441,high,3,4,small,med,acc,1441
66,vhigh,4,4,med,low,unacc,66
393,low,4,4,big,low,unacc,393
579,high,3,4,med,low,unacc,579
24,vhigh,2,more,big,low,unacc,24
211,high,5more,more,med,med,unacc,211
1329,vhigh,3,2,big,low,unacc,1329
144,high,3,4,small,low,unacc,144
536,vhigh,5more,more,med,high,unacc,536
811,low,4,2,small,med,unacc,811
942,vhigh,4,more,big,low,unacc,942
1120,med,3,4,med,med,acc,1120
85,vhigh,5more,2,med,med,unacc,85
1555,med,3,4,big,med,good,1555
272,med,4,2,small,high,unacc,272
1116,med,3,4,small,low,unacc,1116
1029,high,4,2,med,low,unacc,1029
865,vhigh,2,2,small,med,unacc,865
1557,med,3,more,small,low,unacc,1557
630,high,5more,4,small,low,unacc,630
1703,low,5more,2,small,high,unacc,1703
1612,med,5more,more,small,med,acc,1612
1182,med,5more,more,med,low,unacc,1182
1613,med,5more,more,small,high,good,1613
505,vhigh,4,more,small,med,unacc,505
273,med,4,2,med,low,unacc,273
950,vhigh,5more,2,med,high,unacc,950
1138,med,4,2,med,med,unacc,1138
362,low,3,4,small,high,acc,362
1395,vhigh,5more,more,small,low,unacc,1395
622,high,5more,2,small,med,unacc,622
2,vhigh,2,2,small,high,unacc,2
6,vhigh,2,2,big,low,unacc,6
311,med,5more,4,med,high,acc,311
1167,med,5more,2,big,low,unacc,1167
867,vhigh,2,2,med,low,unacc,867
665,med,2,4,big,high,acc,665
364,low,3,4,med,med,unacc,364
1701,low,5more,2,small,low,unacc,1701
215,high,5more,more,big,high,unacc,215
1659,low,3,4,med,low,unacc,1659
27,vhigh,3,2,small,low,unacc,27
1237,low,3,more,med,med,good,1237
525,vhigh,5more,4,med,low,unacc,525
1581,med,4,4,big,low,unacc,1581
887,vhigh,2,more,med,high,acc,887
638,high,5more,4,big,high,acc,638
1289,low,5more,more,small,high,good,1289
718,med,4,4,big,med,acc,718
691,med,3,4,big,med,acc,691
1355,vhigh,4,2,med,high,unacc,1355
1173,med,5more,4,med,low,unacc,1173
624,high,5more,2,med,low,unacc,624
7,vhigh,2,2,big,med,unacc,7
256,med,3,4,med,med,unacc,256
803,low,3,more,small,high,acc,803
25,vhigh,2,more,big,med,unacc,25
336,low,2,4,med,low,unacc,336
572,high,3,2,med,high,unacc,572
47,vhigh,3,more,small,high,unacc,47
1276,low,5more,2,big,med,unacc,1276
106,vhigh,5more,more,big,med,unacc,106
349,low,2,more,big,med,acc,349
55,vhigh,4,2,small,med,unacc,55
238,med,2,more,med,med,unacc,238
213,high,5more,more,big,low,unacc,213
120,high,2,4,med,low,unacc,120
1089,med,2,4,small,low,unacc,1089
1688,low,4,4,med,high,vgood,1688
793,low,3,4,small,med,unacc,793
72,vhigh,4,more,small,low,unacc,72
812,low,4,2,small,high,unacc,812
1491,high,5more,2,big,low,unacc,1491
77,vhigh,4,more,med,high,unacc,77
1271,low,5more,2,small,high,unacc,1271
45,vhigh,3,more,small,low,unacc,45
1447,high,3,4,big,med,acc,1447
523,vhigh,5more,4,small,med,unacc,523
232,med,2,4,big,med,acc,232
644,high,5more,more,med,high,acc,644
1677,low,4,2,med,low,unacc,1677
1303,vhigh,2,2,big,med,unacc,1303
1037,high,4,4,small,high,acc,1037
533,vhigh,5more,more,small,high,unacc,533
1421,high,2,4,big,high,vgood,1421
1304,vhigh,2,2,big,high,unacc,1304
603,high,4,4,small,low,unacc,603
465,vhigh,3,2,big,low,unacc,465
1630,low,2,4,small,med,acc,1630
788,low,3,2,med,high,unacc,788
1464,high,4,2,big,low,unacc,1464
1645,low,2,more,big,med,good,1645
1128,med,3,more,med,low,unacc,1128
60,vhigh,4,2,big,low,unacc,60
1096,med,2,4,big,med,acc,1096
92,vhigh,5more,4,small,high,unacc,92
666,med,2,more,small,low,unacc,666
923,vhigh,4,2,med,high,unacc,923
1460,high,4,2,small,high,unacc,1460
194,high,5more,2,med,high,unacc,194
280,med,4,4,small,med,unacc,280
695,med,3,more,small,high,acc,695
1209,low,2,more,med,low,unacc,1209
359,low,3,2,big,high,unacc,359
1259,low,4,4,big,high,vgood,1259
519,vhigh,5more,2,big,low,unacc,519
1239,low,3,more,big,low,unacc,1239
1049,high,4,more,med,high,acc,1049
1436,high,3,2,med,high,unacc,1436
847,low,5more,4,small,med,unacc,847
182,high,4,more,small,high,unacc,182
1177,med,5more,4,big,med,acc,1177
1187,med,5more,more,big,high,vgood,1187
110,high,2,2,small,high,unacc,110
1551,med,3,4,med,low,unacc,1551
1063,high,5more,4,small,med,unacc,1063
42,vhigh,3,4,big,low,unacc,42
746,med,5more,4,big,high,acc,746
125,high,2,4,big,high,unacc,125
204,high,5more,4,big,low,unacc,204
1401,vhigh,5more,more,big,low,unacc,1401
52,vhigh,3,more,big,med,unacc,52
1673,low,3,more,big,high,vgood,1673
545,high,2,2,med,high,unacc,545
68,vhigh,4,4,med,high,unacc,68
1376,vhigh,4,more,big,high,acc,1376
507,vhigh,4,more,med,low,unacc,507
1338,vhigh,3,4,big,low,unacc,1338
329,low,2,2,med,high,unacc,329
994,high,2,more,med,med,unacc,994
183,high,4,more,med,low,unacc,183
137,high,3,2,small,high,unacc,137
899,vhigh,3,2,big,high,unacc,899
796,low,3,4,med,med,unacc,796
132,high,2,more,big,low,unacc,132
80,vhigh,4,more,big,high,unacc,80
1391,vhigh,5more,4,med,high,acc,1391
105,vhigh,5more,more,big,low,unacc,105
1333,vhigh,3,4,small,med,unacc,1333
541,high,2,2,small,med,unacc,541
1526,med,2,4,med,high,good,1526
480,vhigh,3,more,med,low,unacc,480
165,high,4,2,med,low,unacc,165
248,med,3,2,med,high,unacc,248
307,med,5more,4,small,med,unacc,307
446,vhigh,2,4,med,high,unacc,446
983,high,2,4,small,high,acc,983
858,low,5more,more,med,low,unacc,858
334,low,2,4,small,med,unacc,334
1053,high,5more,2,small,low,unacc,1053
849,low,5more,4,med,low,unacc,849
97,vhigh,5more,4,big,med,unacc,97
1004,high,3,2,med,high,unacc,1004
1702,low,5more,2,small,med,unacc,1702
737,med,5more,2,big,high,unacc,737
1090,med,2,4,small,med,acc,1090
1258,low,4,4,big,med,good,1258
421,low,5more,4,big,med,acc,421
102,vhigh,5more,more,med,low,unacc,102
434,vhigh,2,2,small,high,unacc,434
74,vhigh,4,more,small,high,unacc,74
1546,med,3,2,big,med,unacc,1546
909,vhigh,3,more,small,low,unacc,909
1713,low,5more,4,med,low,unacc,1713
228,med,2,4,med,low,unacc,228
1567,med,4,2,small,med,unacc,1567
918,vhigh,4,2,small,low,unacc,918
302,med,5more,2,med,high,unacc,302
1715,low,5more,4,med,high,vgood,1715
1446,high,3,4,big,low,unacc,1446
1403,vhigh,5more,more,big,high,acc,1403
824,low,4,4,med,high,acc,824
762,low,2,2,big,low,unacc,762
733,med,5more,2,med,med,unacc,733
989,high,2,4,big,high,acc,989
388,low,4,4,small,med,unacc,388
235,med,2,more,small,med,unacc,235
1427,high,2,more,med,high,acc,1427
1636,low,2,4,big,med,good,1636
267,med,3,more,big,low,unacc,267
305,med,5more,2,big,high,unacc,305
1149,med,4,4,big,low,unacc,1149
1505,high,5more,more,small,high,acc,1505
117,high,2,4,small,low,unacc,117
1656,low,3,4,small,low,unacc,1656
673,med,2,more,big,med,acc,673
249,med,3,2,big,low,unacc,249
1252,low,4,4,small,med,acc,1252
1234,low,3,more,small,med,acc,1234
71,vhigh,4,4,big,high,unacc,71
94,vhigh,5more,4,med,med,unacc,94
1105,med,2,more,big,med,acc,1105
33,vhigh,3,2,big,low,unacc,33
799,low,3,4,big,med,acc,799
1262,low,4,more,small,high,good,1262
1444,high,3,4,med,med,acc,1444
448,vhigh,2,4,big,med,unacc,448
445,vhigh,2,4,med,med,unacc,445
771,low,2,4,big,low,unacc,771
716,med,4,4,med,high,acc,716
1420,high,2,4,big,med,acc,1420
1312,vhigh,2,4,big,med,acc,1312
0,vhigh,2,2,small,low,unacc,0
1185,med,5more,more,big,low,unacc,1185
82,vhigh,5more,2,small,med,unacc,82
1117,med,3,4,small,med,acc,1117
676,med,3,2,small,med,unacc,676
1251,low,4,4,small,low,unacc,1251
770,low,2,4,med,high,acc,770
1057,high,5more,2,med,med,unacc,1057
1111,med,3,2,med,med,unacc,1111
1368,vhigh,4,more,small,low,unacc,1368
1285,low,5more,4,big,med,good,1285
404,low,4,more,big,high,acc,404
1597,med,5more,2,med,med,unacc,1597
1124,med,3,4,big,high,vgood,1124
104,vhigh,5more,more,med,high,unacc,104
688,med,3,4,med,med,unacc,688
1351,vhigh,4,2,small,med,unacc,1351
826,low,4,4,big,med,acc,826
62,vhigh,4,2,big,high,unacc,62
852,low,5more,4,big,low,unacc,852
1165,med,5more,2,med,med,unacc,1165
223,med,2,2,big,med,unacc,223
145,high,3,4,small,med,unacc,145
373,low,3,more,med,med,acc,373
1473,high,4,4,big,low,unacc,1473
1575,med,4,4,small,low,unacc,1575
1290,low,5more,more,med,low,unacc,1290
1385,vhigh,5more,2,big,high,unacc,1385
1102,med,2,more,med,med,acc,1102
9,vhigh,2,4,small,low,unacc,9
449,vhigh,2,4,big,high,unacc,449
708,med,4,2,big,low,unacc,708
255,med,3,4,med,low,unacc,255
882,vhigh,2,more,small,low,unacc,882
389,low,4,4,small,high,acc,389
908,vhigh,3,4,big,high,acc,908
924,vhigh,4,2,big,low,unacc,924
1476,high,4,more,small,low,unacc,1476
1375,vhigh,4,more,big,med,acc,1375
460,vhigh,3,2,small,med,unacc,460
1101,med,2,more,med,low,unacc,1101
958,vhigh,5more,4,med,med,acc,958
501,vhigh,4,4,big,low,unacc,501
739,med,5more,4,small,med,unacc,739
1594,med,5more,2,small,med,unacc,1594
868,vhigh,2,2,med,med,unacc,868
731,med,5more,2,small,high,unacc,731
539,vhigh,5more,more,big,high,unacc,539
697,med,3,more,med,med,acc,697
1200,low,2,4,med,low,unacc,1200
1412,high,2,2,big,high,unacc,1412
1031,high,4,2,med,high,unacc,1031
372,low,3,more,med,low,unacc,372
667,med,2,more,small,med,unacc,667
1319,vhigh,2,more,med,high,acc,1319
357,low,3,2,big,low,unacc,357
967,vhigh,5more,more,med,med,acc,967
783,low,3,2,small,low,unacc,783
735,med,5more,2,big,low,unacc,735
1035,high,4,4,small,low,unacc,1035
970,vhigh,5more,more,big,med,acc,970
1318,vhigh,2,more,med,med,unacc,1318
1283,low,5more,4,med,high,vgood,1283
1287,low,5more,more,small,low,unacc,1287
1466,high,4,2,big,high,unacc,1466
1486,high,5more,2,small,med,unacc,1486
885,vhigh,2,more,med,low,unacc,885
79,vhigh,4,more,big,med,unacc,79
814,low,4,2,med,med,unacc,814
1316,vhigh,2,more,small,high,unacc,1316
671,med,2,more,med,high,acc,671
1325,vhigh,3,2,small,high,unacc,1325
57,vhigh,4,2,med,low,unacc,57
133,high,2,more,big,med,unacc,133
933,vhigh,4,4,big,low,unacc,933
1458,high,4,2,small,low,unacc,1458
823,low,4,4,med,med,acc,823
504,vhigh,4,more,small,low,unacc,504
1533,med,2,more,med,low,unacc,1533
347,low,2,more,med,high,acc,347
386,low,4,2,big,high,unacc,386
1024,high,3,more,big,med,acc,1024
894,vhigh,3,2,med,low,unacc,894
828,low,4,more,small,low,unacc,828
1629,low,2,4,small,low,unacc,1629
475,vhigh,3,4,big,med,unacc,475
1269,low,5more,2,small,low,unacc,1269
1204,low,2,4,big,med,good,1204
652,med,2,2,med,med,unacc,652
172,high,4,4,small,med,unacc,172
38,vhigh,3,4,small,high,unacc,38
713,med,4,4,small,high,acc,713
90,vhigh,5more,4,small,low,unacc,90
1669,low,3,more,med,med,good,1669
875,vhigh,2,4,small,high,acc,875
1163,med,5more,2,small,high,unacc,1163
1093,med,2,4,med,med,acc,1093
1174,med,5more,4,med,med,acc,1174
1710,low,5more,4,small,low,unacc,1710
499,vhigh,4,4,med,med,unacc,499
338,low,2,4,med,high,acc,338
28,vhigh,3,2,small,med,unacc,28
1142,med,4,2,big,high,unacc,1142
1569,med,4,2,med,low,unacc,1569
945,vhigh,5more,2,small,low,unacc,945
169,high,4,2,big,med,unacc,169
912,vhigh,3,more,med,low,unacc,912
491,vhigh,4,2,med,high,unacc,491
953,vhigh,5more,2,big,high,unacc,953
1097,med,2,4,big,high,vgood,1097
1032,high,4,2,big,low,unacc,1032
587,high,3,more,small,high,acc,587
750,med,5more,more,med,low,unacc,750
657,med,2,4,small,low,unacc,657
234,med,2,more,small,low,unacc,234
732,med,5more,2,med,low,unacc,732
1268,low,4,more,big,high,vgood,1268
