,buying,maint,doors,persons,lug_boot,safety,class
550,high,high,2,4,small,med,unacc
803,high,low,3,more,small,high,acc
1290,med,low,5more,more,med,low,unacc
1097,med,med,2,4,big,high,vgood
471,high,vhigh,3,4,med,low,unacc
1109,med,med,3,2,small,high,unacc
338,vhigh,low,2,4,med,high,acc
300,vhigh,med,5more,2,med,low,unacc
961,med,vhigh,5more,4,big,med,acc
1126,med,med,3,more,small,med,acc
1357,low,vhigh,4,2,big,med,unacc
1644,low,low,2,more,big,low,unacc
1579,low,med,4,4,med,med,good
1208,med,low,2,more,small,high,unacc
1352,low,vhigh,4,2,small,high,unacc
262,vhigh,med,3,more,small,med,unacc
1046,med,high,4,more,small,high,acc
171,vhigh,high,4,4,small,low,unacc
835,high,low,4,more,big,med,acc
1584,low,med,4,more,small,low,unacc
1707,low,low,5more,2,big,low,unacc
1666,low,low,3,more,small,med,acc
208,vhigh,high,5more,more,small,med,unacc
949,med,vhigh,5more,2,med,med,unacc
311,vhigh,med,5more,4,med,high,acc
1463,low,high,4,2,med,high,unacc
1353,low,vhigh,4,2,med,low,unacc
1278,med,low,5more,4,small,low,unacc
1213,med,low,2,more,big,med,good
712,high,med,4,4,small,med,unacc
1586,low,med,4,more,small,high,good
1478,low,high,4,more,small,high,acc
27,vhigh,vhigh,3,2,small,low,unacc
885,med,vhigh,2,more,med,low,unacc
109,vhigh,high,2,2,small,med,unacc
1703,low,low,5more,2,small,high,unacc
24,vhigh,vhigh,2,more,big,low,unacc
204,vhigh,high,5more,4,big,low,unacc
619,high,high,4,more,big,med,acc
470,high,vhigh,3,4,small,high,unacc
96,vhigh,vhigh,5more,4,big,low,unacc
207,vhigh,high,5more,more,small,low,unacc
54,vhigh,vhigh,4,2,small,low,unacc
1214,med,low,2,more,big,high,vgood
1149,med,med,4,4,big,low,unacc
659,high,med,2,4,small,high,acc
381,vhigh,low,4,2,med,low,unacc
717,high,med,4,4,big,low,unacc
1133,med,med,3,more,big,high,vgood
592,high,high,3,more,big,med,acc
831,high,low,4,more,med,low,unacc
975,med,high,2,2,med,low,unacc
1713,low,low,5more,4,med,low,unacc
681,high,med,3,2,big,low,unacc
275,vhigh,med,4,2,med,high,unacc
873,med,vhigh,2,4,small,low,unacc
197,vhigh,high,5more,2,big,high,unacc
175,vhigh,high,4,4,med,med,unacc
177,vhigh,high,4,4,big,low,unacc
1057,med,high,5more,2,med,med,unacc
833,high,low,4,more,med,high,acc
351,vhigh,low,3,2,small,low,unacc
1693,low,low,4,more,small,med,acc
72,vhigh,vhigh,4,more,small,low,unacc
890,med,vhigh,2,more,big,high,acc
897,med,vhigh,3,2,big,low,unacc
1276,med,low,5more,2,big,med,unacc
704,high,med,4,2,small,high,unacc
417,vhigh,low,5more,4,med,low,unacc
1577,low,med,4,4,small,high,good
1427,low,high,2,more,med,high,acc
379,vhigh,low,4,2,small,med,unacc
328,vhigh,low,2,2,med,med,unacc
1377,low,vhigh,5more,2,small,low,unacc
367,vhigh,low,3,4,big,med,acc
168,vhigh,high,4,2,big,low,unacc
965,med,vhigh,5more,more,small,high,acc
492,high,vhigh,4,2,big,low,unacc
1383,low,vhigh,5more,2,big,low,unacc
830,high,low,4,more,small,high,acc
475,high,vhigh,3,4,big,med,unacc
1537,low,med,2,more,big,med,good
317,vhigh,med,5more,more,small,high,acc
1477,low,high,4,more,small,med,acc
412,vhigh,low,5more,2,big,med,unacc
407,vhigh,low,5more,2,small,high,unacc
42,vhigh,vhigh,3,4,big,low,unacc
947,med,vhigh,5more,2,small,high,unacc
137,vhigh,high,3,2,small,high,unacc
126,vhigh,high,2,more,small,low,unacc
1702,low,low,5more,2,small,med,unacc
693,high,med,3,more,small,low,unacc
1591,low,med,4,more,big,med,good
182,vhigh,high,4,more,small,high,unacc
1416,low,high,2,4,med,low,unacc
514,high,vhigh,5more,2,small,med,unacc
236,vhigh,med,2,more,small,high,unacc
447,high,vhigh,2,4,big,low,unacc
1588,low,med,4,more,med,med,good
1487,low,high,5more,2,small,high,unacc
86,vhigh,vhigh,5more,2,med,high,unacc
753,high,med,5more,more,big,low,unacc
199,vhigh,high,5more,4,small,med,unacc
103,vhigh,vhigh,5more,more,med,med,unacc
560,high,high,2,more,small,high,unacc
1292,med,low,5more,more,med,high,vgood
8,vhigh,vhigh,2,2,big,high,unacc
858,high,low,5more,more,med,low,unacc
1039,med,high,4,4,med,med,acc
1388,low,vhigh,5more,4,small,high,acc
442,high,vhigh,2,4,small,med,unacc
194,vhigh,high,5more,2,med,high,unacc
1289,med,low,5more,more,small,high,good
622,high,high,5more,2,small,med,unacc
282,vhigh,med,4,4,med,low,unacc
655,high,med,2,2,big,med,unacc
129,vhigh,high,2,more,med,low,unacc
1037,med,high,4,4,small,high,acc
1439,low,high,3,2,big,high,unacc
701,high,med,3,more,big,high,acc
951,med,vhigh,5more,2,big,low,unacc
810,high,low,4,2,small,low,unacc
1207,med,low,2,more,small,med,unacc
1408,low,high,2,2,med,med,unacc
1344,low,vhigh,3,more,med,low,unacc
1062,med,high,5more,4,small,low,unacc
684,high,med,3,4,small,low,unacc
1335,low,vhigh,3,4,med,low,unacc
47,vhigh,vhigh,3,more,small,high,unacc
654,high,med,2,2,big,low,unacc
1415,low,high,2,4,small,high,acc
284,vhigh,med,4,4,med,high,acc
198,vhigh,high,5more,4,small,low,unacc
992,med,high,2,more,small,high,unacc
802,high,low,3,more,small,med,unacc
962,med,vhigh,5more,4,big,high,acc
1234,med,low,3,more,small,med,acc
1326,low,vhigh,3,2,med,low,unacc
368,vhigh,low,3,4,big,high,acc
981,med,high,2,4,small,low,unacc
604,high,high,4,4,small,med,unacc
1669,low,low,3,more,med,med,good
672,high,med,2,more,big,low,unacc
507,high,vhigh,4,more,med,low,unacc
120,vhigh,high,2,4,med,low,unacc
627,high,high,5more,2,big,low,unacc
1259,med,low,4,4,big,high,vgood
1436,low,high,3,2,med,high,unacc
163,vhigh,high,4,2,small,med,unacc
455,high,vhigh,2,more,med,high,unacc
1106,med,med,2,more,big,high,vgood
1510,low,high,5more,more,big,med,acc
1003,med,high,3,2,med,med,unacc
804,high,low,3,more,med,low,unacc
1098,med,med,2,more,small,low,unacc
855,high,low,5more,more,small,low,unacc
161,vhigh,high,3,more,big,high,unacc
820,high,low,4,4,small,med,unacc
590,high,high,3,more,med,high,acc
418,vhigh,low,5more,4,med,med,acc
1073,med,high,5more,more,small,high,acc
571,high,high,3,2,med,med,unacc
1049,med,high,4,more,med,high,acc
14,vhigh,vhigh,2,4,med,high,unacc
764,high,low,2,2,big,high,unacc
346,vhigh,low,2,more,med,med,unacc
932,med,vhigh,4,4,med,high,acc
1694,low,low,4,more,small,high,good
898,med,vhigh,3,2,big,med,unacc
1040,med,high,4,4,med,high,acc
756,high,low,2,2,small,low,unacc
1314,low,vhigh,2,more,small,low,unacc
1648,low,low,3,2,small,med,unacc
283,vhigh,med,4,4,med,med,acc
234,vhigh,med,2,more,small,low,unacc
661,high,med,2,4,med,med,unacc
1366,low,vhigh,4,4,big,med,acc
101,vhigh,vhigh,5more,more,small,high,unacc
121,vhigh,high,2,4,med,med,unacc
249,vhigh,med,3,2,big,low,unacc
131,vhigh,high,2,more,med,high,unacc
481,high,vhigh,3,more,med,med,unacc
142,vhigh,high,3,2,big,med,unacc
1514,low,med,2,2,small,high,unacc
415,vhigh,low,5more,4,small,med,unacc
1011,med,high,3,4,med,low,unacc
952,med,vhigh,5more,2,big,med,unacc
1620,low,low,2,2,small,low,unacc
840,high,low,5more,2,med,low,unacc
954,med,vhigh,5more,4,small,low,unacc
1379,low,vhigh,5more,2,small,high,unacc
744,high,med,5more,4,big,low,unacc
1508,low,high,5more,more,med,high,vgood
1246,med,low,4,2,med,med,unacc
623,high,high,5more,2,small,high,unacc
209,vhigh,high,5more,more,small,high,unacc
1576,low,med,4,4,small,med,acc
1611,low,med,5more,more,small,low,unacc
1376,low,vhigh,4,more,big,high,acc
140,vhigh,high,3,2,med,high,unacc
319,vhigh,med,5more,more,med,med,acc
149,vhigh,high,3,4,med,high,unacc
1380,low,vhigh,5more,2,med,low,unacc
1119,med,med,3,4,med,low,unacc
1321,low,vhigh,2,more,big,med,acc
1083,med,med,2,2,med,low,unacc
259,vhigh,med,3,4,big,med,acc
1440,low,high,3,4,small,low,unacc
1437,low,high,3,2,big,low,unacc
1147,med,med,4,4,med,med,acc
490,high,vhigh,4,2,med,med,unacc
914,med,vhigh,3,more,med,high,acc
437,high,vhigh,2,2,med,high,unacc
881,med,vhigh,2,4,big,high,acc
1266,med,low,4,more,big,low,unacc
767,high,low,2,4,small,high,acc
225,vhigh,med,2,4,small,low,unacc
808,high,low,3,more,big,med,acc
1013,med,high,3,4,med,high,acc
426,vhigh,low,5more,more,med,low,unacc
625,high,high,5more,2,med,med,unacc
1727,low,low,5more,more,big,high,vgood
935,med,vhigh,4,4,big,high,acc
264,vhigh,med,3,more,med,low,unacc
479,high,vhigh,3,more,small,high,unacc
459,high,vhigh,3,2,small,low,unacc
617,high,high,4,more,med,high,acc
239,vhigh,med,2,more,med,high,acc
310,vhigh,med,5more,4,med,med,acc
867,med,vhigh,2,2,med,low,unacc
306,vhigh,med,5more,4,small,low,unacc
19,vhigh,vhigh,2,more,small,med,unacc
1417,low,high,2,4,med,med,acc
916,med,vhigh,3,more,big,med,acc
3,vhigh,vhigh,2,2,med,low,unacc
1021,med,high,3,more,med,med,acc
1070,med,high,5more,4,big,high,acc
1094,med,med,2,4,med,high,acc
728,high,med,4,more,big,high,acc
136,vhigh,high,3,2,small,med,unacc
335,vhigh,low,2,4,small,high,acc
1668,low,low,3,more,med,low,unacc
774,high,low,2,more,small,low,unacc
113,vhigh,high,2,2,med,high,unacc
822,high,low,4,4,med,low,unacc
1686,low,low,4,4,med,low,unacc
219,vhigh,med,2,2,med,low,unacc
1608,low,med,5more,4,big,low,unacc
894,med,vhigh,3,2,med,low,unacc
1504,low,high,5more,more,small,med,acc
1131,med,med,3,more,big,low,unacc
647,high,high,5more,more,big,high,acc
1373,low,vhigh,4,more,med,high,acc
856,high,low,5more,more,small,med,unacc
640,high,high,5more,more,small,med,unacc
697,high,med,3,more,med,med,acc
296,vhigh,med,4,more,big,high,acc
737,high,med,5more,2,big,high,unacc
1227,med,low,3,4,med,low,unacc
618,high,high,4,more,big,low,unacc
1710,low,low,5more,4,small,low,unacc
853,high,low,5more,4,big,med,acc
1720,low,low,5more,more,small,med,acc
369,vhigh,low,3,more,small,low,unacc
56,vhigh,vhigh,4,2,small,high,unacc
92,vhigh,vhigh,5more,4,small,high,unacc
1108,med,med,3,2,small,med,unacc
78,vhigh,vhigh,4,more,big,low,unacc
735,high,med,5more,2,big,low,unacc
1701,low,low,5more,2,small,low,unacc
971,med,vhigh,5more,more,big,high,acc
834,high,low,4,more,big,low,unacc
926,med,vhigh,4,2,big,high,unacc
656,high,med,2,2,big,high,unacc
107,vhigh,vhigh,5more,more,big,high,unacc
771,high,low,2,4,big,low,unacc
505,high,vhigh,4,more,small,med,unacc
1681,low,low,4,2,big,med,unacc
1016,med,high,3,4,big,high,acc
1662,low,low,3,4,big,low,unacc
1241,med,low,3,more,big,high,vgood
1354,low,vhigh,4,2,med,med,unacc
1182,med,med,5more,more,med,low,unacc
1146,med,med,4,4,med,low,unacc
17,vhigh,vhigh,2,4,big,high,unacc
562,high,high,2,more,med,med,unacc
651,high,med,2,2,med,low,unacc
1135,med,med,4,2,small,med,unacc
921,med,vhigh,4,2,med,low,unacc
1245,med,low,4,2,med,low,unacc
215,vhigh,high,5more,more,big,high,unacc
1088,med,med,2,2,big,high,unacc
293,vhigh,med,4,more,med,high,acc
250,vhigh,med,3,2,big,med,unacc
540,high,high,2,2,small,low,unacc
111,vhigh,high,2,2,med,low,unacc
511,high,vhigh,4,more,big,med,unacc
1413,low,high,2,4,small,low,unacc
1726,low,low,5more,more,big,med,good
1675,low,low,4,2,small,med,unacc
525,high,vhigh,5more,4,med,low,unacc
1496,low,high,5more,4,small,high,acc
344,vhigh,low,2,more,small,high,unacc
628,high,high,5more,2,big,med,unacc
1179,med,med,5more,more,small,low,unacc
1191,med,low,2,2,med,low,unacc
85,vhigh,vhigh,5more,2,med,med,unacc
1452,low,high,3,more,med,low,unacc
1356,low,vhigh,4,2,big,low,unacc
141,vhigh,high,3,2,big,low,unacc
480,high,vhigh,3,more,med,low,unacc
534,high,vhigh,5more,more,med,low,unacc
743,high,med,5more,4,med,high,acc
1673,low,low,3,more,big,high,vgood
789,high,low,3,2,big,low,unacc
556,high,high,2,4,big,med,acc
1206,med,low,2,more,small,low,unacc
274,vhigh,med,4,2,med,med,unacc
828,high,low,4,more,small,low,unacc
641,high,high,5more,more,small,high,acc
710,high,med,4,2,big,high,unacc
730,high,med,5more,2,small,med,unacc
732,high,med,5more,2,med,low,unacc
333,vhigh,low,2,4,small,low,unacc
1081,med,med,2,2,small,med,unacc
253,vhigh,med,3,4,small,med,unacc
1647,low,low,3,2,small,low,unacc
613,high,high,4,more,small,med,unacc
228,vhigh,med,2,4,med,low,unacc
674,high,med,2,more,big,high,acc
1431,low,high,3,2,small,low,unacc
1392,low,vhigh,5more,4,big,low,unacc
1324,low,vhigh,3,2,small,med,unacc
1275,med,low,5more,2,big,low,unacc
151,vhigh,high,3,4,big,med,unacc
829,high,low,4,more,small,med,unacc
736,high,med,5more,2,big,med,unacc
671,high,med,2,more,med,high,acc
1444,low,high,3,4,med,med,acc
1372,low,vhigh,4,more,med,med,acc
1254,med,low,4,4,med,low,unacc
1122,med,med,3,4,big,low,unacc
725,high,med,4,more,med,high,acc
227,vhigh,med,2,4,small,high,acc
122,vhigh,high,2,4,med,high,unacc
1009,med,high,3,4,small,med,unacc
1374,low,vhigh,4,more,big,low,unacc
5,vhigh,vhigh,2,2,med,high,unacc
1674,low,low,4,2,small,low,unacc
1695,low,low,4,more,med,low,unacc
799,high,low,3,4,big,med,acc
797,high,low,3,4,med,high,acc
1345,low,vhigh,3,more,med,med,acc
403,vhigh,low,4,more,big,med,acc
1435,low,high,3,2,med,med,unacc
44,vhigh,vhigh,3,4,big,high,unacc
473,high,vhigh,3,4,med,high,unacc
465,high,vhigh,3,2,big,low,unacc
872,med,vhigh,2,2,big,high,unacc
1284,med,low,5more,4,big,low,unacc
718,high,med,4,4,big,med,acc
1355,low,vhigh,4,2,med,high,unacc
1236,med,low,3,more,med,low,unacc
668,high,med,2,more,small,high,unacc
818,high,low,4,2,big,high,unacc
454,high,vhigh,2,more,med,med,unacc
650,high,med,2,2,small,high,unacc
1256,med,low,4,4,med,high,vgood
1546,low,med,3,2,big,med,unacc
154,vhigh,high,3,more,small,med,unacc
552,high,high,2,4,med,low,unacc
923,med,vhigh,4,2,med,high,unacc
1637,low,low,2,4,big,high,vgood
1063,med,high,5more,4,small,med,unacc
301,vhigh,med,5more,2,med,med,unacc
1563,low,med,3,more,big,low,unacc
934,med,vhigh,4,4,big,med,acc
917,med,vhigh,3,more,big,high,acc
1025,med,high,3,more,big,high,acc
1164,med,med,5more,2,med,low,unacc
432,high,vhigh,2,2,small,low,unacc
488,high,vhigh,4,2,small,high,unacc
430,vhigh,low,5more,more,big,med,acc
1293,med,low,5more,more,big,low,unacc
43,vhigh,vhigh,3,4,big,med,unacc
1556,low,med,3,4,big,high,vgood
1391,low,vhigh,5more,4,med,high,acc
1410,low,high,2,2,big,low,unacc
903,med,vhigh,3,4,med,low,unacc
1492,low,high,5more,2,big,med,unacc
110,vhigh,high,2,2,small,high,unacc
1169,med,med,5more,2,big,high,unacc
1313,low,vhigh,2,4,big,high,acc
1036,med,high,4,4,small,med,unacc
466,high,vhigh,3,2,big,med,unacc
1532,low,med,2,more,small,high,unacc
535,high,vhigh,5more,more,med,med,unacc
946,med,vhigh,5more,2,small,med,unacc
563,high,high,2,more,med,high,acc
778,high,low,2,more,med,med,unacc
188,vhigh,high,4,more,big,high,unacc
193,vhigh,high,5more,2,med,med,unacc
1670,low,low,3,more,med,high,vgood
474,high,vhigh,3,4,big,low,unacc
246,vhigh,med,3,2,med,low,unacc
682,high,med,3,2,big,med,unacc
1655,low,low,3,2,big,high,unacc
1203,med,low,2,4,big,low,unacc
574,high,high,3,2,big,med,unacc
1051,med,high,4,more,big,med,acc
438,high,vhigh,2,2,big,low,unacc
478,high,vhigh,3,more,small,med,unacc
995,med,high,2,more,med,high,acc
548,high,high,2,2,big,high,unacc
496,high,vhigh,4,4,small,med,unacc
1507,low,high,5more,more,med,med,acc
491,high,vhigh,4,2,med,high,unacc
1618,low,med,5more,more,big,med,good
666,high,med,2,more,small,low,unacc
1418,low,high,2,4,med,high,acc
1445,low,high,3,4,med,high,acc
1539,low,med,3,2,small,low,unacc
750,high,med,5more,more,med,low,unacc
1183,med,med,5more,more,med,med,acc
652,high,med,2,2,med,med,unacc
1653,low,low,3,2,big,low,unacc
883,med,vhigh,2,more,small,med,unacc
158,vhigh,high,3,more,med,high,unacc
1580,low,med,4,4,med,high,vgood
791,high,low,3,2,big,high,unacc
1165,med,med,5more,2,med,med,unacc
494,high,vhigh,4,2,big,high,unacc
915,med,vhigh,3,more,big,low,unacc
1137,med,med,4,2,med,low,unacc
152,vhigh,high,3,4,big,high,unacc
31,vhigh,vhigh,3,2,med,med,unacc
1342,low,vhigh,3,more,small,med,unacc
226,vhigh,med,2,4,small,med,unacc
1365,low,vhigh,4,4,big,low,unacc
372,vhigh,low,3,more,med,low,unacc
201,vhigh,high,5more,4,med,low,unacc
388,vhigh,low,4,4,small,med,unacc
1482,low,high,4,more,big,low,unacc
1316,low,vhigh,2,more,small,high,unacc
1454,low,high,3,more,med,high,vgood
7,vhigh,vhigh,2,2,big,med,unacc
1177,med,med,5more,4,big,med,acc
303,vhigh,med,5more,2,big,low,unacc
425,vhigh,low,5more,more,small,high,acc
1221,med,low,3,2,big,low,unacc
1390,low,vhigh,5more,4,med,med,acc
433,high,vhigh,2,2,small,med,unacc
65,vhigh,vhigh,4,4,small,high,unacc
312,vhigh,med,5more,4,big,low,unacc
787,high,low,3,2,med,med,unacc
358,vhigh,low,3,2,big,med,unacc
269,vhigh,med,3,more,big,high,acc
160,vhigh,high,3,more,big,med,unacc
685,high,med,3,4,small,med,unacc
1050,med,high,4,more,big,low,unacc
1172,med,med,5more,4,small,high,acc
759,high,low,2,2,med,low,unacc
779,high,low,2,more,med,high,acc
