,class
147,unacc
512,unacc
490,unacc
140,unacc
124,unacc
224,unacc
590,acc
130,unacc
418,acc
1073,acc
536,unacc
544,unacc
1362,unacc
600,unacc
861,unacc
1389,unacc
1285,good
1040,acc
624,unacc
1490,unacc
352,unacc
283,acc
1054,unacc
707,unacc
1599,unacc
466,unacc
622,unacc
59,unacc
829,unacc
1094,acc
454,unacc
530,unacc
1656,unacc
631,unacc
1489,unacc
3,unacc
876,unacc
1661,good
1576,acc
472,unacc
1376,acc
712,unacc
319,acc
1269,unacc
693,unacc
1321,acc
534,unacc
259,acc
946,unacc
648,unacc
1569,unacc
504,unacc
971,acc
1476,unacc
808,acc
1013,acc
883,unacc
1482,unacc
1122,unacc
935,acc
1491,unacc
1494,unacc
733,unacc
1036,unacc
1548,unacc
51,unacc
127,unacc
1417,acc
1021,acc
1070,acc
728,acc
35,unacc
1715,vgood
39,unacc
963,unacc
1084,unacc
194,unacc
647,acc
163,unacc
1453,acc
697,acc
262,unacc
1128,unacc
853,acc
966,unacc
1271,unacc
386,unacc
65,unacc
1707,unacc
950,unacc
810,unacc
246,unacc
1016,acc
405,unacc
1287,unacc
142,unacc
1200,unacc
222,unacc
1591,good
1524,unacc
604,unacc
402,unacc
1158,unacc
865,unacc
388,unacc
831,unacc
1185,unacc
14,unacc
293,acc
1503,unacc
208,unacc
1100,unacc
13,unacc
429,unacc
1690,good
240,unacc
1199,good
1010,acc
555,unacc
522,unacc
1221,unacc
1496,acc
96,unacc
1017,unacc
1577,good
361,unacc
1023,unacc
626,unacc
1047,unacc
415,unacc
294,unacc
1331,unacc
21,unacc
743,acc
717,unacc
1351,unacc
556,acc
49,unacc
1431,unacc
632,acc
641,acc
723,unacc
669,unacc
567,unacc
439,unacc
1083,unacc
1538,vgood
714,unacc
1125,unacc
1241,vgood
877,unacc
1148,vgood
674,acc
761,unacc
1111,unacc
161,unacc
844,unacc
1050,unacc
625,unacc
125,unacc
975,unacc
671,acc
1444,acc
1372,acc
1409,unacc
1719,unacc
725,acc
227,acc
470,unacc
1516,unacc
305,unacc
639,unacc
209,unacc
884,unacc
799,acc
797,acc
1345,acc
403,acc
1189,unacc
448,unacc
1045,unacc
481,unacc
855,unacc
1454,vgood
457,unacc
718,acc
1379,unacc
1249,unacc
1041,unacc
771,unacc
218,unacc
705,unacc
1256,vgood
298,unacc
1556,vgood
1208,unacc
858,unacc
279,unacc
1191,unacc
1355,unacc
1097,vgood
299,unacc
192,unacc
485,unacc
759,unacc
934,acc
917,acc
1025,acc
596,unacc
564,unacc
1236,unacc
984,unacc
804,unacc
430,acc
471,unacc
1584,unacc
1133,vgood
1391,acc
562,unacc
199,unacc
515,unacc
981,unacc
561,unacc
193,unacc
1313,acc
1546,unacc
81,unacc
1203,unacc
148,unacc
175,unacc
1250,unacc
563,acc
441,unacc
236,unacc
568,unacc
959,acc
1627,unacc
308,acc
384,unacc
1213,good
502,unacc
356,unacc
1608,unacc
1051,acc
1680,unacc
399,unacc
995,acc
775,unacc
1405,unacc
1507,acc
789,unacc
1669,good
17,unacc
1418,acc
1445,acc
333,unacc
793,unacc
1183,acc
651,unacc
992,unacc
511,unacc
126,unacc
228,unacc
538,unacc
344,unacc
580,unacc
1323,unacc
47,unacc
1057,unacc
994,unacc
156,unacc
6,unacc
128,unacc
525,unacc
297,unacc
195,unacc
952,unacc
123,unacc
92,unacc
1700,vgood
110,unacc
1177,acc
1533,unacc
425,acc
370,unacc
1390,acc
1207,unacc
1135,unacc
786,unacc
1232,vgood
1544,unacc
269,acc
842,unacc
735,unacc
181,unacc
1172,acc
112,unacc
779,acc
328,unacc
254,acc
755,acc
1225,acc
1340,acc
670,unacc
255,unacc
956,acc
58,unacc
666,unacc
1205,vgood
785,unacc
351,unacc
366,unacc
358,unacc
23,unacc
1697,vgood
339,unacc
474,unacc
342,unacc
720,unacc
1534,acc
1515,unacc
540,unacc
232,acc
773,acc
250,unacc
446,unacc
1009,unacc
910,unacc
673,acc
1134,unacc
365,acc
432,unacc
1543,unacc
1064,acc
851,acc
1645,good
442,unacc
621,unacc
174,unacc
462,unacc
1261,acc
1380,unacc
852,unacc
263,acc
788,unacc
1652,unacc
285,unacc
772,acc
1038,unacc
867,unacc
1460,unacc
1506,unacc
507,unacc
1294,good
953,unacc
1109,unacc
1671,unacc
1611,unacc
642,unacc
37,unacc
1326,unacc
56,unacc
178,unacc
814,unacc
501,unacc
640,unacc
1222,unacc
19,unacc
428,acc
1138,unacc
667,unacc
1514,unacc
337,unacc
988,acc
533,unacc
1319,acc
1268,vgood
1280,good
1554,unacc
265,acc
1344,unacc
5,unacc
55,unacc
1198,acc
675,unacc
1618,good
404,acc
887,acc
628,unacc
43,unacc
506,unacc
704,unacc
1536,unacc
100,unacc
586,unacc
716,acc
1416,unacc
12,unacc
162,unacc
44,unacc
229,unacc
703,unacc
1551,unacc
213,unacc
891,unacc
1146,unacc
1131,unacc
708,unacc
486,unacc
1387,unacc
324,unacc
349,acc
1166,unacc
1194,unacc
173,unacc
1559,good
482,unacc
827,acc
170,unacc
1116,unacc
700,acc
652,unacc
407,unacc
45,unacc
1579,good
377,acc
554,acc
1089,unacc
1276,unacc
1480,acc
141,unacc
63,unacc
313,acc
417,unacc
583,acc
258,unacc
185,unacc
117,unacc
769,unacc
1705,unacc
1314,unacc
766,unacc
1274,unacc
346,unacc
1651,unacc
233,acc
385,unacc
42,unacc
818,unacc
643,acc
1670,vgood
88,unacc
1007,unacc
1649,unacc
1557,unacc
360,unacc
627,unacc
1263,unacc
553,unacc
873,unacc
249,unacc
686,acc
412,unacc
1342,unacc
1349,acc
499,unacc
371,acc
1230,unacc
252,unacc
811,unacc
899,unacc
306,unacc
1179,unacc
706,unacc
379,unacc
300,unacc
1386,unacc
862,acc
146,unacc
1204,good
157,unacc
116,unacc
1210,acc
1243,unacc
219,unacc
589,acc
498,unacc
1709,unacc
535,unacc
1087,unacc
611,acc
756,unacc
1014,unacc
1639,unacc
1311,unacc
1406,unacc
30,unacc
974,unacc
1703,unacc
872,unacc
438,unacc
1673,vgood
1612,acc
860,acc
1463,unacc
359,unacc
72,unacc
569,unacc
591,unacc
483,unacc
1520,unacc
1182,unacc
1104,unacc
546,unacc
260,acc
1329,unacc
1525,acc
1180,acc
859,acc
1434,unacc
1423,unacc
576,unacc
398,acc
321,unacc
455,unacc
1413,unacc
1610,vgood
1446,unacc
1214,vgood
918,unacc
1048,acc
1421,vgood
1430,vgood
509,unacc
657,unacc
336,unacc
67,unacc
1399,acc
1081,unacc
268,acc
183,unacc
677,unacc
10,unacc
68,unacc
1401,unacc
1264,good
71,unacc
618,unacc
363,unacc
1392,unacc
1141,unacc
843,unacc
136,unacc
1545,unacc
357,unacc
190,unacc
1333,unacc
763,unacc
1149,unacc
1101,unacc
665,acc
237,unacc
1712,good
314,acc
1488,unacc
1352,unacc
571,unacc
1634,good
1347,unacc
1306,unacc
396,unacc
1137,unacc
1493,unacc
465,unacc
1325,unacc
558,unacc
1011,unacc
1528,good
1209,unacc
689,acc
947,unacc
898,unacc
1174,acc
692,acc
694,unacc
1215,unacc
32,unacc
523,unacc
1699,good
1022,acc
291,unacc
1437,unacc
327,unacc
672,unacc
158,unacc
744,unacc
834,unacc
1724,vgood
1397,acc
1428,unacc
1270,unacc
247,unacc
764,unacc
1055,unacc
153,unacc
736,unacc
650,unacc
1296,unacc
552,unacc
1259,vgood
87,unacc
86,unacc
103,unacc
329,unacc
1549,acc
765,unacc
978,unacc
494,unacc
520,unacc
951,unacc
1408,unacc
559,unacc
302,unacc
1531,unacc
497,unacc
787,unacc
1613,good
539,unacc
1369,unacc
436,unacc
517,unacc
1574,unacc
1667,good
491,unacc
1160,vgood
684,unacc
983,acc
295,acc
560,unacc
1258,good
1498,acc
1433,unacc
1063,unacc
473,unacc
695,acc
331,unacc
537,unacc
378,unacc
1242,unacc
1526,good
231,unacc
1150,acc
120,unacc
1578,unacc
926,unacc
138,unacc
943,acc
1429,acc
1499,vgood
1511,vgood
850,acc
78,unacc
97,unacc
1308,unacc
1359,unacc
856,unacc
132,unacc
750,unacc
889,acc
1675,unacc
1091,acc
164,unacc
187,unacc
1129,acc
1061,unacc
413,unacc
874,unacc
1012,unacc
653,unacc
903,unacc
607,acc
1414,acc
1252,acc
790,unacc
440,unacc
211,unacc
1218,unacc
184,unacc
1672,good
1356,unacc
1466,unacc
826,acc
1676,unacc
1077,unacc
1562,vgood
1096,acc
1224,unacc
654,unacc
1024,acc
1008,unacc
1474,acc
1290,unacc
1201,acc
871,unacc
1015,acc
1495,acc
710,unacc
2,unacc
1459,unacc
880,acc
206,unacc
587,acc
312,unacc
1462,unacc
682,unacc
1237,good
460,unacc
1196,unacc
973,unacc
416,acc
510,unacc
1175,vgood
1604,good
289,unacc
1139,unacc
1085,unacc
303,unacc
637,acc
791,unacc
866,unacc
1601,unacc
350,acc
1487,unacc
574,unacc
989,acc
1197,unacc
719,acc
1368,unacc
1550,good
414,unacc
816,unacc
66,unacc
492,unacc
343,unacc
531,unacc
929,acc
1646,vgood
1410,unacc
152,unacc
602,unacc
150,unacc
1653,unacc
614,acc
776,unacc
1171,acc
54,unacc
1374,unacc
1553,good
1665,unacc
422,acc
1164,unacc
745,acc
1655,unacc
201,unacc
901,unacc
630,unacc
1643,good
210,unacc
107,unacc
1641,unacc
958,acc
1117,acc
235,unacc
1523,good
762,unacc
1597,unacc
354,unacc
1706,unacc
1028,unacc
1004,unacc
1451,acc
1683,unacc
1589,vgood
731,unacc
777,unacc
1118,acc
1424,unacc
1044,unacc
85,unacc
301,unacc
1350,unacc
1620,unacc
341,acc
48,unacc
1456,acc
1071,unacc
1062,unacc
320,acc
847,unacc
848,acc
662,acc
1686,unacc
939,unacc
1316,unacc
406,unacc
1288,acc
655,unacc
435,unacc
1633,acc
198,unacc
1717,good
1449,unacc
31,unacc
578,acc
519,unacc
242,acc
1075,acc
1228,acc
113,unacc
7,unacc
722,acc
496,unacc
1108,unacc
1426,acc
1568,unacc
1184,vgood
1334,acc
1078,acc
1186,acc
332,unacc
121,unacc
443,unacc
281,acc
585,unacc
1664,vgood
1647,unacc
139,unacc
1575,unacc
479,unacc
948,unacc
896,unacc
931,acc
464,unacc
1127,acc
452,unacc
893,unacc
1031,unacc
1069,acc
620,acc
747,unacc
1289,good
1157,vgood
1441,acc
752,acc
1668,unacc
739,unacc
251,unacc
1677,unacc
1034,unacc
751,acc
980,unacc
839,unacc
26,unacc
1479,unacc
41,unacc
480,unacc
595,unacc
1617,unacc
1003,unacc
1558,acc
16,unacc
215,unacc
613,unacc
709,unacc
83,unacc
212,unacc
1304,unacc
1678,unacc
1255,good
