,maint,doors,persons,lug_boot,safety,class
1365,vhigh,4,4,big,low,unacc
1542,med,3,2,med,low,unacc
33,vhigh,3,2,big,low,unacc
1190,low,2,2,small,high,unacc
1076,high,5more,more,med,high,acc
1398,vhigh,5more,more,med,low,unacc
1265,low,4,more,med,high,vgood
1723,low,5more,more,med,med,good
1624,low,2,2,med,med,unacc
633,high,5more,4,med,low,unacc
940,vhigh,4,more,med,med,acc
310,med,5more,4,med,med,acc
102,vhigh,5more,more,med,low,unacc
323,med,5more,more,big,high,acc
347,low,2,more,med,high,acc
421,low,5more,4,big,med,acc
493,vhigh,4,2,big,med,unacc
549,high,2,4,small,low,unacc
941,vhigh,4,more,med,high,acc
1607,med,5more,4,med,high,vgood
1360,vhigh,4,4,small,med,unacc
1714,low,5more,4,med,med,good
1420,high,2,4,big,med,acc
20,vhigh,2,more,small,high,unacc
1099,med,2,more,small,med,unacc
881,vhigh,2,4,big,high,acc
1370,vhigh,4,more,small,high,acc
792,low,3,4,small,low,unacc
1638,low,2,more,small,low,unacc
1330,vhigh,3,2,big,med,unacc
863,low,5more,more,big,high,acc
1247,low,4,2,med,high,unacc
1106,med,2,more,big,high,vgood
1572,med,4,2,big,low,unacc
1082,med,2,2,small,high,unacc
330,low,2,2,big,low,unacc
1195,low,2,2,big,med,unacc
822,low,4,4,med,low,unacc
1393,vhigh,5more,4,big,med,acc
1586,med,4,more,small,high,good
661,med,2,4,med,med,unacc
131,high,2,more,med,high,unacc
1132,med,3,more,big,med,acc
782,low,2,more,big,high,acc
991,high,2,more,small,med,unacc
207,high,5more,more,small,low,unacc
1067,high,5more,4,med,high,acc
1679,low,4,2,med,high,unacc
1394,vhigh,5more,4,big,high,acc
1361,vhigh,4,4,small,high,acc
664,med,2,4,big,med,acc
1322,vhigh,2,more,big,high,acc
1181,med,5more,more,small,high,acc
433,vhigh,2,2,small,med,unacc
488,vhigh,4,2,small,high,unacc
382,low,4,2,med,med,unacc
894,vhigh,3,2,med,low,unacc
678,med,3,2,med,low,unacc
699,med,3,more,big,low,unacc
355,low,3,2,med,med,unacc
1353,vhigh,4,2,med,low,unacc
1567,med,4,2,small,med,unacc
1373,vhigh,4,more,med,high,acc
566,high,2,more,big,high,acc
1644,low,2,more,big,low,unacc
155,high,3,more,small,high,unacc
1169,med,5more,2,big,high,unacc
338,low,2,4,med,high,acc
1165,med,5more,2,med,med,unacc
1155,med,4,more,med,low,unacc
94,vhigh,5more,4,med,med,unacc
1049,high,4,more,med,high,acc
1366,vhigh,4,4,big,med,acc
1614,med,5more,more,med,low,unacc
1124,med,3,4,big,high,vgood
345,low,2,more,med,low,unacc
688,med,3,4,med,med,unacc
1596,med,5more,2,med,low,unacc
635,high,5more,4,med,high,acc
715,med,4,4,med,med,acc
1535,med,2,more,med,high,good
1436,high,3,2,med,high,unacc
1640,low,2,more,small,high,unacc
1452,high,3,more,med,low,unacc
1,vhigh,2,2,small,med,unacc
1336,vhigh,3,4,med,med,unacc
1176,med,5more,4,big,low,unacc
1223,low,3,2,big,high,unacc
1060,high,5more,2,big,med,unacc
274,med,4,2,med,med,unacc
200,high,5more,4,small,high,unacc
256,med,3,4,med,med,unacc
969,vhigh,5more,more,big,low,unacc
73,vhigh,4,more,small,med,unacc
774,low,2,more,small,low,unacc
721,med,4,more,small,med,unacc
318,med,5more,more,med,low,unacc
757,low,2,2,small,med,unacc
1293,low,5more,more,big,low,unacc
691,med,3,4,big,med,acc
857,low,5more,more,small,high,acc
179,high,4,4,big,high,unacc
292,med,4,more,med,med,acc
1154,med,4,more,small,high,acc
1239,low,3,more,big,low,unacc
783,low,3,2,small,low,unacc
1580,med,4,4,med,high,vgood
594,high,4,2,small,low,unacc
541,high,2,2,small,med,unacc
69,vhigh,4,4,big,low,unacc
134,high,2,more,big,high,unacc
1156,med,4,more,med,med,acc
182,high,4,more,small,high,unacc
99,vhigh,5more,more,small,low,unacc
1687,low,4,4,med,med,good
1341,vhigh,3,more,small,low,unacc
487,vhigh,4,2,small,med,unacc
459,vhigh,3,2,small,low,unacc
275,med,4,2,med,high,unacc
1310,vhigh,2,4,med,high,acc
1253,low,4,4,small,high,good
426,low,5more,more,med,low,unacc
770,low,2,4,med,high,acc
115,high,2,2,big,med,unacc
920,vhigh,4,2,small,high,unacc
375,low,3,more,big,low,unacc
518,vhigh,5more,2,med,high,unacc
1694,low,4,more,small,high,good
1521,med,2,4,small,low,unacc
1710,low,5more,4,small,low,unacc
1059,high,5more,2,big,low,unacc
800,low,3,4,big,high,acc
915,vhigh,3,more,big,low,unacc
754,med,5more,more,big,med,acc
1046,high,4,more,small,high,acc
1722,low,5more,more,med,low,unacc
1126,med,3,more,small,med,acc
239,med,2,more,med,high,acc
955,vhigh,5more,4,small,med,unacc
74,vhigh,4,more,small,high,unacc
649,med,2,2,small,med,unacc
1292,low,5more,more,med,high,vgood
264,med,3,more,med,low,unacc
1623,low,2,2,med,low,unacc
912,vhigh,3,more,med,low,unacc
584,high,3,4,big,high,acc
1299,vhigh,2,2,med,low,unacc
1555,med,3,4,big,med,good
1628,low,2,2,big,high,unacc
1512,med,2,2,small,low,unacc
1502,high,5more,4,big,high,vgood
1565,med,3,more,big,high,vgood
475,vhigh,3,4,big,med,unacc
1103,med,2,more,med,high,acc
875,vhigh,2,4,small,high,acc
767,low,2,4,small,high,acc
1246,low,4,2,med,med,unacc
1666,low,3,more,small,med,acc
557,high,2,4,big,high,acc
1605,med,5more,4,med,low,unacc
1335,vhigh,3,4,med,low,unacc
495,vhigh,4,4,small,low,unacc
1603,med,5more,4,small,med,acc
778,low,2,more,med,med,unacc
1492,high,5more,2,big,med,unacc
1092,med,2,4,med,low,unacc
660,med,2,4,med,low,unacc
1537,med,2,more,big,med,good
702,med,4,2,small,low,unacc
1713,low,5more,4,med,low,unacc
1560,med,3,more,med,low,unacc
1086,med,2,2,big,low,unacc
1324,vhigh,3,2,small,med,unacc
394,low,4,4,big,med,acc
892,vhigh,3,2,small,med,unacc
427,low,5more,more,med,med,acc
1298,vhigh,2,2,small,high,unacc
135,high,3,2,small,low,unacc
1716,low,5more,4,big,low,unacc
1305,vhigh,2,4,small,low,unacc
1588,med,4,more,med,med,good
1382,vhigh,5more,2,med,high,unacc
1637,low,2,4,big,high,vgood
1529,med,2,4,big,high,vgood
713,med,4,4,small,high,acc
813,low,4,2,med,low,unacc
1539,med,3,2,small,low,unacc
296,med,4,more,big,high,acc
1358,vhigh,4,2,big,high,unacc
226,med,2,4,small,med,unacc
982,high,2,4,small,med,unacc
243,med,3,2,small,low,unacc
1508,high,5more,more,med,high,vgood
241,med,2,more,big,med,acc
225,med,2,4,small,low,unacc
805,low,3,more,med,med,acc
309,med,5more,4,med,low,unacc
1019,high,3,more,small,high,acc
1505,high,5more,more,small,high,acc
742,med,5more,4,med,med,acc
434,vhigh,2,2,small,high,unacc
205,high,5more,4,big,med,unacc
109,high,2,2,small,med,unacc
1217,low,3,2,small,high,unacc
167,high,4,2,med,high,unacc
395,low,4,4,big,high,acc
1272,low,5more,2,med,low,unacc
257,med,3,4,med,high,acc
597,high,4,2,med,low,unacc
1442,high,3,4,small,high,acc
802,low,3,more,small,med,unacc
1339,vhigh,3,4,big,med,acc
186,high,4,more,big,low,unacc
450,vhigh,2,more,small,low,unacc
1465,high,4,2,big,med,unacc
925,vhigh,4,2,big,med,unacc
690,med,3,4,big,low,unacc
52,vhigh,3,more,big,med,unacc
272,med,4,2,small,high,unacc
616,high,4,more,med,med,acc
197,high,5more,2,big,high,unacc
24,vhigh,2,more,big,low,unacc
1303,vhigh,2,2,big,med,unacc
188,high,4,more,big,high,unacc
623,high,5more,2,small,high,unacc
726,med,4,more,big,low,unacc
798,low,3,4,big,low,unacc
129,high,2,more,med,low,unacc
111,high,2,2,med,low,unacc
913,vhigh,3,more,med,med,acc
668,med,2,more,small,high,unacc
221,med,2,2,med,high,unacc
334,low,2,4,small,med,unacc
1309,vhigh,2,4,med,med,unacc
909,vhigh,3,more,small,low,unacc
609,high,4,4,big,low,unacc
803,low,3,more,small,high,acc
60,vhigh,4,2,big,low,unacc
961,vhigh,5more,4,big,med,acc
253,med,3,4,small,med,unacc
204,high,5more,4,big,low,unacc
1098,med,2,more,small,low,unacc
548,high,2,2,big,high,unacc
1338,vhigh,3,4,big,low,unacc
835,low,4,more,big,med,acc
838,low,5more,2,small,med,unacc
819,low,4,4,small,low,unacc
1660,low,3,4,med,med,acc
177,high,4,4,big,low,unacc
348,low,2,more,big,low,unacc
311,med,5more,4,med,high,acc
282,med,4,4,med,low,unacc
325,low,2,2,small,med,unacc
914,vhigh,3,more,med,high,acc
730,med,5more,2,small,med,unacc
478,vhigh,3,more,small,med,unacc
949,vhigh,5more,2,med,med,unacc
820,low,4,4,small,med,unacc
1020,high,3,more,med,low,unacc
1478,high,4,more,small,high,acc
1167,med,5more,2,big,low,unacc
1211,low,2,more,med,high,good
753,med,5more,more,big,low,unacc
1701,low,5more,2,small,low,unacc
1053,high,5more,2,small,low,unacc
411,low,5more,2,big,low,unacc
1615,med,5more,more,med,med,good
619,high,4,more,big,med,acc
1151,med,4,4,big,high,vgood
369,low,3,more,small,low,unacc
171,high,4,4,small,low,unacc
1384,vhigh,5more,2,big,med,unacc
885,vhigh,2,more,med,low,unacc
76,vhigh,4,more,med,med,unacc
680,med,3,2,med,high,unacc
659,med,2,4,small,high,acc
1632,low,2,4,med,low,unacc
8,vhigh,2,2,big,high,unacc
316,med,5more,more,small,med,unacc
543,high,2,2,med,low,unacc
1711,low,5more,4,small,med,acc
592,high,3,more,big,med,acc
419,low,5more,4,med,high,acc
1564,med,3,more,big,med,good
381,low,4,2,med,low,unacc
923,vhigh,4,2,med,high,unacc
629,high,5more,2,big,high,unacc
1458,high,4,2,small,low,unacc
612,high,4,more,small,low,unacc
1718,low,5more,4,big,high,vgood
1622,low,2,2,small,high,unacc
1674,low,4,2,small,low,unacc
1027,high,4,2,small,med,unacc
601,high,4,2,big,med,unacc
897,vhigh,3,2,big,low,unacc
390,low,4,4,med,low,unacc
1702,low,5more,2,small,med,unacc
833,low,4,more,med,high,acc
608,high,4,4,med,high,acc
505,vhigh,4,more,small,med,unacc
1187,med,5more,more,big,high,vgood
1684,low,4,4,small,med,acc
656,med,2,2,big,high,unacc
137,high,3,2,small,high,unacc
890,vhigh,2,more,big,high,acc
1435,high,3,2,med,med,unacc
203,high,5more,4,med,high,unacc
1119,med,3,4,med,low,unacc
930,vhigh,4,4,med,low,unacc
1681,low,4,2,big,med,unacc
220,med,2,2,med,med,unacc
1443,high,3,4,med,low,unacc
168,high,4,2,big,low,unacc
1427,high,2,more,med,high,acc
681,med,3,2,big,low,unacc
326,low,2,2,small,high,unacc
886,vhigh,2,more,med,med,unacc
367,low,3,4,big,med,acc
1229,low,3,4,med,high,good
27,vhigh,3,2,small,low,unacc
364,low,3,4,med,med,unacc
965,vhigh,5more,more,small,high,acc
1245,low,4,2,med,low,unacc
801,low,3,more,small,low,unacc
106,vhigh,5more,more,big,med,unacc
830,low,4,more,small,high,acc
101,vhigh,5more,more,small,high,unacc
758,low,2,2,small,high,unacc
1648,low,3,2,small,med,unacc
317,med,5more,more,small,high,acc
1477,high,4,more,small,med,acc
1598,med,5more,2,med,high,unacc
277,med,4,2,big,med,unacc
1595,med,5more,2,small,high,unacc
1475,high,4,4,big,high,vgood
500,vhigh,4,4,med,high,unacc
1461,high,4,2,med,low,unacc
727,med,4,more,big,med,acc
1035,high,4,4,small,low,unacc
160,high,3,more,big,med,unacc
449,vhigh,2,4,big,high,unacc
768,low,2,4,med,low,unacc
636,high,5more,4,big,low,unacc
1592,med,4,more,big,high,vgood
1563,med,3,more,big,low,unacc
734,med,5more,2,med,high,unacc
1383,vhigh,5more,2,big,low,unacc
1698,low,4,more,big,low,unacc
828,low,4,more,small,low,unacc
165,high,4,2,med,low,unacc
477,vhigh,3,more,small,low,unacc
676,med,3,2,small,med,unacc
1682,low,4,2,big,high,unacc
1439,high,3,2,big,high,unacc
383,low,4,2,med,high,unacc
1726,low,5more,more,big,med,good
1695,low,4,more,med,low,unacc
278,med,4,2,big,high,unacc
849,low,5more,4,med,low,unacc
105,vhigh,5more,more,big,low,unacc
1039,high,4,4,med,med,acc
1388,vhigh,5more,4,small,high,acc
410,low,5more,2,med,high,unacc
53,vhigh,3,more,big,high,unacc
1354,vhigh,4,2,med,med,unacc
795,low,3,4,med,low,unacc
1631,low,2,4,small,high,good
741,med,5more,4,med,low,unacc
514,vhigh,5more,2,small,med,unacc
1212,low,2,more,big,low,unacc
196,high,5more,2,big,med,unacc
380,low,4,2,small,high,unacc
1725,low,5more,more,big,low,unacc
1037,high,4,4,small,high,acc
91,vhigh,5more,4,small,med,unacc
701,med,3,more,big,high,acc
1357,vhigh,4,2,big,med,unacc
288,med,4,more,small,low,unacc
572,high,3,2,med,high,unacc
1206,low,2,more,small,low,unacc
1573,med,4,2,big,med,unacc
573,high,3,2,big,low,unacc
80,vhigh,4,more,big,high,unacc
1377,vhigh,5more,2,small,low,unacc
599,high,4,2,med,high,unacc
1483,high,4,more,big,med,acc
1708,low,5more,2,big,med,unacc
921,vhigh,4,2,med,low,unacc
1415,high,2,4,small,high,acc
284,med,4,4,med,high,acc
696,med,3,more,med,low,unacc
1532,med,2,more,small,high,unacc
1227,low,3,4,med,low,unacc
1254,low,4,4,med,low,unacc
962,vhigh,5more,4,big,high,acc
1234,low,3,more,small,med,acc
999,high,3,2,small,low,unacc
732,med,5more,2,med,low,unacc
368,low,3,4,big,high,acc
919,vhigh,4,2,small,med,unacc
1030,high,4,2,med,med,unacc
888,vhigh,2,more,big,low,unacc
840,low,5more,2,med,low,unacc
1240,low,3,more,big,med,good
372,low,3,more,med,low,unacc
1619,med,5more,more,big,high,vgood
737,med,5more,2,big,high,unacc
806,low,3,more,med,high,acc
151,high,3,4,big,med,unacc
993,high,2,more,med,low,unacc
972,high,2,2,small,low,unacc
25,vhigh,2,more,big,med,unacc
1002,high,3,2,med,low,unacc
1088,med,2,2,big,high,unacc
420,low,5more,4,big,low,unacc
1510,high,5more,more,big,med,acc
1600,med,5more,2,big,med,unacc
147,high,3,4,med,low,unacc
512,vhigh,4,more,big,high,unacc
490,vhigh,4,2,med,med,unacc
140,high,3,2,med,high,unacc
124,high,2,4,big,med,unacc
224,med,2,2,big,high,unacc
590,high,3,more,med,high,acc
130,high,2,more,med,med,unacc
418,low,5more,4,med,med,acc
1073,high,5more,more,small,high,acc
536,vhigh,5more,more,med,high,unacc
544,high,2,2,med,med,unacc
1362,vhigh,4,4,med,low,unacc
600,high,4,2,big,low,unacc
861,low,5more,more,big,low,unacc
1389,vhigh,5more,4,med,low,unacc
1285,low,5more,4,big,med,good
1040,high,4,4,med,high,acc
624,high,5more,2,med,low,unacc
1490,high,5more,2,med,high,unacc
352,low,3,2,small,med,unacc
283,med,4,4,med,med,acc
1054,high,5more,2,small,med,unacc
707,med,4,2,med,high,unacc
1599,med,5more,2,big,low,unacc
466,vhigh,3,2,big,med,unacc
622,high,5more,2,small,med,unacc
59,vhigh,4,2,med,high,unacc
829,low,4,more,small,med,unacc
1094,med,2,4,med,high,acc
454,vhigh,2,more,med,med,unacc
530,vhigh,5more,4,big,high,unacc
1656,low,3,4,small,low,unacc
631,high,5more,4,small,med,unacc
1489,high,5more,2,med,med,unacc
3,vhigh,2,2,med,low,unacc
876,vhigh,2,4,med,low,unacc
1661,low,3,4,med,high,good
1576,med,4,4,small,med,acc
472,vhigh,3,4,med,med,unacc
1376,vhigh,4,more,big,high,acc
712,med,4,4,small,med,unacc
319,med,5more,more,med,med,acc
1269,low,5more,2,small,low,unacc
693,med,3,more,small,low,unacc
1321,vhigh,2,more,big,med,acc
534,vhigh,5more,more,med,low,unacc
259,med,3,4,big,med,acc
946,vhigh,5more,2,small,med,unacc
648,med,2,2,small,low,unacc
1569,med,4,2,med,low,unacc
504,vhigh,4,more,small,low,unacc
971,vhigh,5more,more,big,high,acc
1476,high,4,more,small,low,unacc
808,low,3,more,big,med,acc
1013,high,3,4,med,high,acc
883,vhigh,2,more,small,med,unacc
1482,high,4,more,big,low,unacc
1122,med,3,4,big,low,unacc
935,vhigh,4,4,big,high,acc
1491,high,5more,2,big,low,unacc
1494,high,5more,4,small,low,unacc
733,med,5more,2,med,med,unacc
1036,high,4,4,small,med,unacc
1548,med,3,4,small,low,unacc
51,vhigh,3,more,big,low,unacc
127,high,2,more,small,med,unacc
1417,high,2,4,med,med,acc
1021,high,3,more,med,med,acc
1070,high,5more,4,big,high,acc
728,med,4,more,big,high,acc
35,vhigh,3,2,big,high,unacc
1715,low,5more,4,med,high,vgood
39,vhigh,3,4,med,low,unacc
963,vhigh,5more,more,small,low,unacc
1084,med,2,2,med,med,unacc
194,high,5more,2,med,high,unacc
647,high,5more,more,big,high,acc
163,high,4,2,small,med,unacc
1453,high,3,more,med,med,acc
697,med,3,more,med,med,acc
262,med,3,more,small,med,unacc
1128,med,3,more,med,low,unacc
853,low,5more,4,big,med,acc
966,vhigh,5more,more,med,low,unacc
1271,low,5more,2,small,high,unacc
386,low,4,2,big,high,unacc
65,vhigh,4,4,small,high,unacc
1707,low,5more,2,big,low,unacc
950,vhigh,5more,2,med,high,unacc
810,low,4,2,small,low,unacc
246,med,3,2,med,low,unacc
1016,high,3,4,big,high,acc
405,low,5more,2,small,low,unacc
1287,low,5more,more,small,low,unacc
142,high,3,2,big,med,unacc
1200,low,2,4,med,low,unacc
222,med,2,2,big,low,unacc
1591,med,4,more,big,med,good
1524,med,2,4,med,low,unacc
604,high,4,4,small,med,unacc
402,low,4,more,big,low,unacc
1158,med,4,more,big,low,unacc
865,vhigh,2,2,small,med,unacc
388,low,4,4,small,med,unacc
831,low,4,more,med,low,unacc
1185,med,5more,more,big,low,unacc
14,vhigh,2,4,med,high,unacc
293,med,4,more,med,high,acc
1503,high,5more,more,small,low,unacc
208,high,5more,more,small,med,unacc
1100,med,2,more,small,high,unacc
13,vhigh,2,4,med,med,unacc
429,low,5more,more,big,low,unacc
1690,low,4,4,big,med,good
240,med,2,more,big,low,unacc
1199,low,2,4,small,high,good
1010,high,3,4,small,high,acc
555,high,2,4,big,low,unacc
522,vhigh,5more,4,small,low,unacc
1221,low,3,2,big,low,unacc
1496,high,5more,4,small,high,acc
96,vhigh,5more,4,big,low,unacc
1017,high,3,more,small,low,unacc
1577,med,4,4,small,high,good
361,low,3,4,small,med,unacc
1023,high,3,more,big,low,unacc
626,high,5more,2,med,high,unacc
1047,high,4,more,med,low,unacc
415,low,5more,4,small,med,unacc
294,med,4,more,big,low,unacc
1331,vhigh,3,2,big,high,unacc
21,vhigh,2,more,med,low,unacc
743,med,5more,4,med,high,acc
717,med,4,4,big,low,unacc
1351,vhigh,4,2,small,med,unacc
556,high,2,4,big,med,acc
49,vhigh,3,more,med,med,unacc
1431,high,3,2,small,low,unacc
632,high,5more,4,small,high,acc
641,high,5more,more,small,high,acc
723,med,4,more,med,low,unacc
669,med,2,more,med,low,unacc
567,high,3,2,small,low,unacc
439,vhigh,2,2,big,med,unacc
1083,med,2,2,med,low,unacc
1538,med,2,more,big,high,vgood
714,med,4,4,med,low,unacc
1125,med,3,more,small,low,unacc
1241,low,3,more,big,high,vgood
877,vhigh,2,4,med,med,unacc
1148,med,4,4,med,high,vgood
674,med,2,more,big,high,acc
761,low,2,2,med,high,unacc
1111,med,3,2,med,med,unacc
161,high,3,more,big,high,unacc
844,low,5more,2,big,med,unacc
1050,high,4,more,big,low,unacc
625,high,5more,2,med,med,unacc
125,high,2,4,big,high,unacc
975,high,2,2,med,low,unacc
671,med,2,more,med,high,acc
1444,high,3,4,med,med,acc
1372,vhigh,4,more,med,med,acc
1409,high,2,2,med,high,unacc
1719,low,5more,more,small,low,unacc
725,med,4,more,med,high,acc
227,med,2,4,small,high,acc
470,vhigh,3,4,small,high,unacc
1516,med,2,2,med,med,unacc
305,med,5more,2,big,high,unacc
639,high,5more,more,small,low,unacc
209,high,5more,more,small,high,unacc
884,vhigh,2,more,small,high,unacc
799,low,3,4,big,med,acc
797,low,3,4,med,high,acc
1345,vhigh,3,more,med,med,acc
403,low,4,more,big,med,acc
1189,low,2,2,small,med,unacc
448,vhigh,2,4,big,med,unacc
1045,high,4,more,small,med,unacc
481,vhigh,3,more,med,med,unacc
855,low,5more,more,small,low,unacc
1454,high,3,more,med,high,vgood
457,vhigh,2,more,big,med,unacc
718,med,4,4,big,med,acc
1379,vhigh,5more,2,small,high,unacc
1249,low,4,2,big,med,unacc
1041,high,4,4,big,low,unacc
771,low,2,4,big,low,unacc
218,med,2,2,small,high,unacc
705,med,4,2,med,low,unacc
1256,low,4,4,med,high,vgood
298,med,5more,2,small,med,unacc
1556,med,3,4,big,high,vgood
1208,low,2,more,small,high,unacc
858,low,5more,more,med,low,unacc
279,med,4,4,small,low,unacc
1191,low,2,2,med,low,unacc
1355,vhigh,4,2,med,high,unacc
1097,med,2,4,big,high,vgood
299,med,5more,2,small,high,unacc
192,high,5more,2,med,low,unacc
485,vhigh,3,more,big,high,unacc
759,low,2,2,med,low,unacc
934,vhigh,4,4,big,med,acc
917,vhigh,3,more,big,high,acc
1025,high,3,more,big,high,acc
596,high,4,2,small,high,unacc
564,high,2,more,big,low,unacc
1236,low,3,more,med,low,unacc
984,high,2,4,med,low,unacc
804,low,3,more,med,low,unacc
430,low,5more,more,big,med,acc
471,vhigh,3,4,med,low,unacc
1584,med,4,more,small,low,unacc
1133,med,3,more,big,high,vgood
1391,vhigh,5more,4,med,high,acc
562,high,2,more,med,med,unacc
199,high,5more,4,small,med,unacc
515,vhigh,5more,2,small,high,unacc
981,high,2,4,small,low,unacc
561,high,2,more,med,low,unacc
193,high,5more,2,med,med,unacc
1313,vhigh,2,4,big,high,acc
1546,med,3,2,big,med,unacc
81,vhigh,5more,2,small,low,unacc
1203,low,2,4,big,low,unacc
148,high,3,4,med,med,unacc
175,high,4,4,med,med,unacc
1250,low,4,2,big,high,unacc
563,high,2,more,med,high,acc
441,vhigh,2,4,small,low,unacc
236,med,2,more,small,high,unacc
568,high,3,2,small,med,unacc
959,vhigh,5more,4,med,high,acc
1627,low,2,2,big,med,unacc
308,med,5more,4,small,high,acc
384,low,4,2,big,low,unacc
1213,low,2,more,big,med,good
502,vhigh,4,4,big,med,unacc
356,low,3,2,med,high,unacc
1608,med,5more,4,big,low,unacc
1051,high,4,more,big,med,acc
1680,low,4,2,big,low,unacc
399,low,4,more,med,low,unacc
995,high,2,more,med,high,acc
775,low,2,more,small,med,unacc
1405,high,2,2,small,med,unacc
1507,high,5more,more,med,med,acc
789,low,3,2,big,low,unacc
1669,low,3,more,med,med,good
17,vhigh,2,4,big,high,unacc
1418,high,2,4,med,high,acc
1445,high,3,4,med,high,acc
333,low,2,4,small,low,unacc
793,low,3,4,small,med,unacc
1183,med,5more,more,med,med,acc
651,med,2,2,med,low,unacc
992,high,2,more,small,high,unacc
511,vhigh,4,more,big,med,unacc
126,high,2,more,small,low,unacc
228,med,2,4,med,low,unacc
538,vhigh,5more,more,big,med,unacc
344,low,2,more,small,high,unacc
580,high,3,4,med,med,unacc
1323,vhigh,3,2,small,low,unacc
47,vhigh,3,more,small,high,unacc
1057,high,5more,2,med,med,unacc
994,high,2,more,med,med,unacc
156,high,3,more,med,low,unacc
6,vhigh,2,2,big,low,unacc
128,high,2,more,small,high,unacc
525,vhigh,5more,4,med,low,unacc
297,med,5more,2,small,low,unacc
195,high,5more,2,big,low,unacc
952,vhigh,5more,2,big,med,unacc
123,high,2,4,big,low,unacc
92,vhigh,5more,4,small,high,unacc
1700,low,4,more,big,high,vgood
110,high,2,2,small,high,unacc
1177,med,5more,4,big,med,acc
1533,med,2,more,med,low,unacc
425,low,5more,more,small,high,acc
370,low,3,more,small,med,unacc
1390,vhigh,5more,4,med,med,acc
1207,low,2,more,small,med,unacc
1135,med,4,2,small,med,unacc
786,low,3,2,med,low,unacc
1232,low,3,4,big,high,vgood
1544,med,3,2,med,high,unacc
269,med,3,more,big,high,acc
842,low,5more,2,med,high,unacc
735,med,5more,2,big,low,unacc
181,high,4,more,small,med,unacc
1172,med,5more,4,small,high,acc
112,high,2,2,med,med,unacc
779,low,2,more,med,high,acc
328,low,2,2,med,med,unacc
254,med,3,4,small,high,acc
755,med,5more,more,big,high,acc
1225,low,3,4,small,med,acc
1340,vhigh,3,4,big,high,acc
670,med,2,more,med,med,unacc
255,med,3,4,med,low,unacc
956,vhigh,5more,4,small,high,acc
58,vhigh,4,2,med,med,unacc
666,med,2,more,small,low,unacc
1205,low,2,4,big,high,vgood
785,low,3,2,small,high,unacc
351,low,3,2,small,low,unacc
366,low,3,4,big,low,unacc
358,low,3,2,big,med,unacc
23,vhigh,2,more,med,high,unacc
1697,low,4,more,med,high,vgood
339,low,2,4,big,low,unacc
